weekly,segment,name,exchange,expiry,instrument_type,asset_symbol,underlying_symbol,instrument_key,lot_size,freeze_quantity,exchange_token,minimum_lot,asset_key,underlying_key,tick_size,asset_type,underlying_type,trading_symbol,strike_price,qty_multiplier,isin,mtf_enabled,mtf_bracket,security_type,short_name
False,NSE_FO,BANKNIFTY,NSE,1787682599000.0,PE,BANKNIFTY,BANKNIFTY,NSE_FO|59301,30,600.0,59301,30.0,NSE_INDEX|Nifty Bank,NSE_INDEX|Nifty Bank,5.0,INDEX,INDEX,BANKNIFTY 63500 PE 25 AUG 26,63500.0,1.0,,,,,
False,NSE_FO,BANKNIFTY,NSE,1787682599000.0,CE,BANKNIFTY,BANKNIFTY,NSE_FO|59302,30,600.0,59302,30.0,NSE_INDEX|Nifty Bank,NSE_INDEX|Nifty Bank,5.0,INDEX,INDEX,BANKNIFTY 63600 CE 25 AUG 26,63600.0,1.0,,,,,
False,NSE_FO,BANKNIFTY,NSE,1787682599000.0,PE,BANKNIFTY,BANKNIFTY,NSE_FO|59303,30,600.0,59303,30.0,NSE_INDEX|Nifty Bank,NSE_INDEX|Nifty Bank,5.0,INDEX,INDEX,BANKNIFTY 63600 PE 25 AUG 26,63600.0,1.0,,,,,
False,NSE_FO,BANKNIFTY,NSE,1787682599000.0,CE,BANKNIFTY,BANKNIFTY,NSE_FO|59304,30,600.0,59304,30.0,NSE_INDEX|Nifty Bank,NSE_INDEX|Nifty Bank,5.0,INDEX,INDEX,BANKNIFTY 63700 CE 25 AUG 26,63700.0,1.0,,,,,
False,NSE_FO,BANKNIFTY,NSE,1787682599000.0,CE,BANKNIFTY,BANKNIFTY,NSE_FO|59300,30,600.0,59300,30.0,NSE_INDEX|Nifty Bank,NSE_INDEX|Nifty Bank,5.0,INDEX,INDEX,BANKNIFTY 63500 CE 25 AUG 26,63500.0,1.0,,,,,
False,NSE_FO,PB FINTECH LIMITED,NSE,1787682599000.0,PE,POLICYBZR,POLICYBZR,NSE_FO|139519,350,14000.0,139519,350.0,NSE_EQ|INE417T01026,NSE_EQ|INE417T01026,5.0,EQUITY,EQUITY,POLICYBZR 1420 PE 25 AUG 26,1420.0,1.0,,,,,
,NSE_EQ,ICICIPRAMC - SMALLIETF,NSE,,EQ,,,NSE_EQ|INF109K1A476,1,100000.0,754612,,,,1.0,,,SMALLIETF,,1.0,INF109K1A476,True,20.0,NORMAL,
False,NSE_FO,PB FINTECH LIMITED,NSE,1787682599000.0,CE,POLICYBZR,POLICYBZR,NSE_FO|139514,350,14000.0,139514,350.0,NSE_EQ|INE417T01026,NSE_EQ|INE417T01026,5.0,EQUITY,EQUITY,POLICYBZR 1380 CE 25 AUG 26,1380.0,1.0,,,,,
False,NSE_FO,PB FINTECH LIMITED,NSE,1787682599000.0,PE,POLICYBZR,POLICYBZR,NSE_FO|139515,350,14000.0,139515,350.0,NSE_EQ|INE417T01026,NSE_EQ|INE417T01026,5.0,EQUITY,EQUITY,POLICYBZR 1380 PE 25 AUG 26,1380.0,1.0,,,,,
False,NSE_FO,PB FINTECH LIMITED,NSE,1787682599000.0,CE,POLICYBZR,POLICYBZR,NSE_FO|139516,350,14000.0,139516,350.0,NSE_EQ|INE417T01026,NSE_EQ|INE417T01026,5.0,EQUITY,EQUITY,POLICYBZR 1420 CE 25 AUG 26,1420.0,1.0,,,,,
,NSE_EQ,NATIONAL ALUMINIUM CO LTD,NSE,,EQ,,,NSE_EQ|INE139A01034,1,100000.0,6364,,,,5.0,,,NATIONALUM,,1.0,INE139A01034,True,31.24,NORMAL,National Aluminium
False,NSE_FO,PB FINTECH LIMITED,NSE,1787682599000.0,PE,POLICYBZR,POLICYBZR,NSE_FO|139540,350,14000.0,139540,350.0,NSE_EQ|INE417T01026,NSE_EQ|INE417T01026,5.0,EQUITY,EQUITY,POLICYBZR 1620 PE 25 AUG 26,1620.0,1.0,,,,,
False,NSE_FO,PB FINTECH LIMITED,NSE,1787682599000.0,CE,POLICYBZR,POLICYBZR,NSE_FO|139541,350,14000.0,139541,350.0,NSE_EQ|INE417T01026,NSE_EQ|INE417T01026,5.0,EQUITY,EQUITY,POLICYBZR 1660 CE 25 AUG 26,1660.0,1.0,,,,,
False,NSE_FO,BANKNIFTY,NSE,1787682599000.0,CE,BANKNIFTY,BANKNIFTY,NSE_FO|59330,30,600.0,59330,30.0,NSE_INDEX|Nifty Bank,NSE_INDEX|Nifty Bank,5.0,INDEX,INDEX,BANKNIFTY 64500 CE 25 AUG 26,64500.0,1.0,,,,,
False,NSE_FO,BANKNIFTY,NSE,1787682599000.0,PE,BANKNIFTY,BANKNIFTY,NSE_FO|59331,30,600.0,59331,30.0,NSE_INDEX|Nifty Bank,NSE_INDEX|Nifty Bank,5.0,INDEX,INDEX,BANKNIFTY 64500 PE 25 AUG 26,64500.0,1.0,,,,,
False,NSE_FO,MIDCPNIFTY,NSE,1793125799000.0,CE,MIDCPNIFTY,MIDCPNIFTY,NSE_FO|50994,120,2760.0,50994,120.0,NSE_INDEX|NIFTY MID SELECT,NSE_INDEX|NIFTY MID SELECT,5.0,INDEX,INDEX,MIDCPNIFTY 15700 CE 27 OCT 26,15700.0,1.0,,,,,
False,NSE_FO,MIDCPNIFTY,NSE,1793125799000.0,PE,MIDCPNIFTY,MIDCPNIFTY,NSE_FO|50995,120,2760.0,50995,120.0,NSE_INDEX|NIFTY MID SELECT,NSE_INDEX|NIFTY MID SELECT,5.0,INDEX,INDEX,MIDCPNIFTY 15700 PE 27 OCT 26,15700.0,1.0,,,,,
False,NSE_FO,BLUE STAR LIMITED,NSE,1793125799000.0,CE,BLUESTARCO,BLUESTARCO,NSE_FO|59329,325,13000.0,59329,325.0,NSE_EQ|INE472A01039,NSE_EQ|INE472A01039,5.0,EQUITY,EQUITY,BLUESTARCO 1680 CE 27 OCT 26,1680.0,1.0,,,,,
False,NSE_FO,PB FINTECH LIMITED,NSE,1787682599000.0,PE,POLICYBZR,POLICYBZR,NSE_FO|139542,350,14000.0,139542,350.0,NSE_EQ|INE417T01026,NSE_EQ|INE417T01026,5.0,EQUITY,EQUITY,POLICYBZR 1660 PE 25 AUG 26,1660.0,1.0,,,,,
False,NSE_FO,PB FINTECH LIMITED,NSE,1787682599000.0,CE,POLICYBZR,POLICYBZR,NSE_FO|139543,350,14000.0,139543,350.0,NSE_EQ|INE417T01026,NSE_EQ|INE417T01026,5.0,EQUITY,EQUITY,POLICYBZR 1700 CE 25 AUG 26,1700.0,1.0,,,,,
False,NSE_FO,PB FINTECH LIMITED,NSE,1787682599000.0,PE,POLICYBZR,POLICYBZR,NSE_FO|139544,350,14000.0,139544,350.0,NSE_EQ|INE417T01026,NSE_EQ|INE417T01026,5.0,EQUITY,EQUITY,POLICYBZR 1700 PE 25 AUG 26,1700.0,1.0,,,,,
False,NSE_FO,PB FINTECH LIMITED,NSE,1787682599000.0,CE,POLICYBZR,POLICYBZR,NSE_FO|139545,350,14000.0,139545,350.0,NSE_EQ|INE417T01026,NSE_EQ|INE417T01026,5.0,EQUITY,EQUITY,POLICYBZR 1740 CE 25 AUG 26,1740.0,1.0,,,,,
False,NSE_FO,PB FINTECH LIMITED,NSE,1787682599000.0,PE,POLICYBZR,POLICYBZR,NSE_FO|139546,350,14000.0,139546,350.0,NSE_EQ|INE417T01026,NSE_EQ|INE417T01026,5.0,EQUITY,EQUITY,POLICYBZR 1740 PE 25 AUG 26,1740.0,1.0,,,,,
False,NSE_FO,PREMIER ENERGIES LIMITED,NSE,1787682599000.0,CE,PREMIERENE,PREMIERENE,NSE_FO|139547,650,26000.0,139547,650.0,NSE_EQ|INE0BS701011,NSE_EQ|INE0BS701011,5.0,EQUITY,EQUITY,PREMIERENE 960 CE 25 AUG 26,960.0,1.0,,,,,
False,NSE_FO,PREMIER ENERGIES LIMITED,NSE,1787682599000.0,PE,PREMIERENE,PREMIERENE,NSE_FO|139548,650,26000.0,139548,650.0,NSE_EQ|INE0BS701011,NSE_EQ|INE0BS701011,5.0,EQUITY,EQUITY,PREMIERENE 960 PE 25 AUG 26,960.0,1.0,,,,,
False,NSE_FO,PB FINTECH LIMITED,NSE,1787682599000.0,CE,POLICYBZR,POLICYBZR,NSE_FO|139549,350,14000.0,139549,350.0,NSE_EQ|INE417T01026,NSE_EQ|INE417T01026,5.0,EQUITY,EQUITY,POLICYBZR 1780 CE 25 AUG 26,1780.0,1.0,,,,,
False,NSE_FO,PB FINTECH LIMITED,NSE,1787682599000.0,PE,POLICYBZR,POLICYBZR,NSE_FO|139530,350,14000.0,139530,350.0,NSE_EQ|INE417T01026,NSE_EQ|INE417T01026,5.0,EQUITY,EQUITY,POLICYBZR 1580 PE 25 AUG 26,1580.0,1.0,,,,,
False,NSE_FO,BLUE STAR LIMITED,NSE,1793125799000.0,CE,BLUESTARCO,BLUESTARCO,NSE_FO|59323,325,13000.0,59323,325.0,NSE_EQ|INE472A01039,NSE_EQ|INE472A01039,5.0,EQUITY,EQUITY,BLUESTARCO 1640 CE 27 OCT 26,1640.0,1.0,,,,,
False,NSE_FO,BLUE STAR LIMITED,NSE,1793125799000.0,PE,BLUESTARCO,BLUESTARCO,NSE_FO|59326,325,13000.0,59326,325.0,NSE_EQ|INE472A01039,NSE_EQ|INE472A01039,5.0,EQUITY,EQUITY,BLUESTARCO 1640 PE 27 OCT 26,1640.0,1.0,,,,,
False,NSE_FO,BANKNIFTY,NSE,1787682599000.0,PE,BANKNIFTY,BANKNIFTY,NSE_FO|59320,30,600.0,59320,30.0,NSE_INDEX|Nifty Bank,NSE_INDEX|Nifty Bank,5.0,INDEX,INDEX,BANKNIFTY 64100 PE 25 AUG 26,64100.0,1.0,,,,,
False,NSE_FO,BANKNIFTY,NSE,1787682599000.0,CE,BANKNIFTY,BANKNIFTY,NSE_FO|59321,30,600.0,59321,30.0,NSE_INDEX|Nifty Bank,NSE_INDEX|Nifty Bank,5.0,INDEX,INDEX,BANKNIFTY 64200 CE 25 AUG 26,64200.0,1.0,,,,,
